               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07641,           0.0069518,                   0,          0.00039549,                 0.2,           0.0002855,          7.1321e-05,             0.12764,           0.0047078,                   0,              0.0784,              0.0024,              0.0024
                   0,             0.07641,           0.0069518,                   0,          0.00039549,                 0.2,           0.0002855,          7.1321e-05,             0.12764,           0.0047078,                   0,              0.0784,              0.0024,              0.0024
                   0,             0.07641,           0.0069518,                   0,          0.00039549,                 0.2,           0.0002855,          7.1321e-05,             0.12764,           0.0047078,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.070906,           0.0070052,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.055781,           0.0047813,           0.0047813
                   0,            0.065488,           0.0056886,                   0,          0.00016323,            0.066667,          8.9111e-05,          8.9111e-06,             0.10291,           0.0025891,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.060367,           0.0062737,                   0,          0.00019979,                 0.1,          0.00011048,            1.45e-05,             0.11249,           0.0017416,                   0,             0.04044,           0.0064401,           0.0064401
                   0,            0.065488,           0.0056886,                   0,          0.00016323,            0.066667,          8.9111e-05,          8.9111e-06,             0.10291,           0.0025891,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.060367,           0.0062737,                   0,          0.00019979,                 0.1,          0.00011048,            1.45e-05,             0.11249,           0.0017416,                   0,             0.04044,           0.0064401,           0.0064401
                   0,            0.065488,           0.0056886,                   0,          0.00016323,            0.066667,          8.9111e-05,          8.9111e-06,             0.10291,           0.0025891,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.060367,           0.0062737,                   0,          0.00019979,                 0.1,          0.00011048,            1.45e-05,             0.11249,           0.0017416,                   0,             0.04044,           0.0064401,           0.0064401
                   0,            0.062543,           0.0061902,                   0,          0.00039216,                 0.2,          0.00025027,          4.3316e-05,             0.10689,            0.032714,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.064429,           0.0050702,                   0,          0.00045752,             0.23333,          0.00050083,          0.00014206,             0.11072,           0.0073071,                   0,             0.04044,           0.0064401,           0.0064401
